iter kd skd kf skf gamma sgamma sigma_error1 sigma_error2 sigma_error3 sigma_error4 L
5.000000000000000000e+01 3.165356531129425843e-04 4.171407915168270643e-05 3.363946519522549502e-05 2.811857446194686427e-06 5.261666686559005767e-05 3.649887887686195565e-06 8.431378215562856937e+00 7.644886847230865534e+00 7.721520133347947734e+00 7.503595082945045291e+00 -1.706846858921194780e+03
5.100000000000000000e+01 3.240724391122749804e-04 4.249645285857588957e-05 3.407725567291927042e-05 2.832467741773592824e-06 5.269364016406894954e-05 3.782051419388079818e-06 8.492383195566612031e+00 7.679862581189960125e+00 7.453683999490094081e+00 7.520833171245429938e+00 -1.706553147310340364e+03
5.200000000000000000e+01 3.228480391160455632e-04 4.143010988551270495e-05 3.215594958510856980e-05 2.784510736774537264e-06 5.268023853434742270e-05 3.992829791876210992e-06 7.823309978987087021e+00 7.387927196932553287e+00 7.502994834761544496e+00 7.518651782317499865e+00 -1.704919001733023606e+03
5.300000000000000000e+01 3.144676512868970495e-04 4.305724204624820890e-05 3.124811055175322037e-05 2.890115900273101790e-06 4.926534370118874938e-05 3.871667933637638950e-06 8.149675728543829933e+00 7.996319163734478153e+00 7.619781785041646494e+00 7.114286726864373911e+00 -1.704264457062315159e+03
5.400000000000000000e+01 3.082757745976646545e-04 4.383242156477289354e-05 2.962269510876579972e-05 2.852407086841765329e-06 5.103915965304671394e-05 3.966399417452488121e-06 7.143819329600726853e+00 7.477339697890871051e+00 7.487670320654898681e+00 6.407472819809855835e+00 -1.705416660198718091e+03
5.500000000000000000e+01 3.194874805459180255e-04 4.490507696290547463e-05 3.207669534011018661e-05 2.652995916711140760e-06 5.228554328809465227e-05 4.139982552503322631e-06 7.030591594408643452e+00 7.494281560654853180e+00 7.394417594832117580e+00 6.086799154927540201e+00 -1.706316151648190271e+03
5.600000000000000000e+01 3.114424260498542410e-04 4.646000166882418295e-05 3.219715072920707342e-05 2.502512050879344771e-06 5.167011907099306069e-05 3.934246233406512136e-06 7.138539996812454547e+00 7.282389426645507591e+00 7.492473912076684783e+00 5.860493031866210067e+00 -1.706002784295720176e+03
5.700000000000000000e+01 3.085110776005502002e-04 4.743137711010976168e-05 3.193957126283009069e-05 2.633062950798811681e-06 5.361875578189594343e-05 3.859585965884197451e-06 6.818909893167075076e+00 7.792476309638023402e+00 7.376679445988453487e+00 6.110143721406357642e+00 -1.702526825710211142e+03
5.800000000000000000e+01 3.511292752883794863e-04 4.491188120739050203e-05 3.232788544978099841e-05 2.544271378075667227e-06 5.382295842849263765e-05 3.844781569096412224e-06 6.749343524183833765e+00 7.375086675002751946e+00 6.891869167647362460e+00 7.514598145731087087e+00 -1.701686223814484947e+03
5.900000000000000000e+01 3.259213208774186152e-04 4.807654804790080163e-05 3.441272290855798181e-05 2.453768448506992858e-06 5.244854586239126138e-05 3.786701197674984986e-06 6.689735134559114726e+00 6.843969493175761087e+00 6.870099886414808843e+00 7.466398714898265787e+00 -1.702648819601958166e+03
6.000000000000000000e+01 3.311536594326674261e-04 4.522049984424975528e-05 3.434116123029186228e-05 2.334946606875516710e-06 4.946398106819947517e-05 3.750189872388326283e-06 6.326301620230986522e+00 7.541625403269912375e+00 6.565790050940584877e+00 7.164558848123882662e+00 -1.701768976363880029e+03
6.100000000000000000e+01 3.271262371340384915e-04 4.594450944999769657e-05 3.359455954203162246e-05 2.515495063029896746e-06 5.149506736120983868e-05 3.899279145795696115e-06 7.035127044690147713e+00 8.018063813036015119e+00 6.380126330590313977e+00 7.167680050764051458e+00 -1.702212728120757902e+03
6.200000000000000000e+01 3.042762503623108240e-04 4.421556868572277621e-05 3.734557292236555080e-05 2.445425984353406436e-06 5.220168273028721884e-05 3.825004787437434402e-06 7.137735125674962156e+00 8.268279526864882101e+00 6.546761552467614820e+00 7.120924052095202406e+00 -1.702189824088317437e+03
6.300000000000000000e+01 3.230707586008869773e-04 4.554251942130377122e-05 3.691524299737530867e-05 2.647154424244640576e-06 5.237089139773215953e-05 3.975540611601523335e-06 7.824110231510620572e+00 8.173367782858884212e+00 7.168320016174294373e+00 6.515141493630894232e+00 -1.701506572009312549e+03
6.400000000000000000e+01 3.498884829826151327e-04 4.434488559707246255e-05 3.459289059244692019e-05 2.677365985669892252e-06 5.146087717538868608e-05 4.093312363740324060e-06 7.898134932295469035e+00 7.952529574426207226e+00 6.910363769055044791e+00 6.748801679061575243e+00 -1.702477797844021552e+03
6.500000000000000000e+01 3.555861339304359895e-04 4.343404025855203052e-05 3.398954736426513558e-05 2.458123771127602296e-06 5.665642974587284034e-05 3.942134126531565943e-06 8.238592881013110159e+00 7.628841430373419108e+00 6.961200771084742556e+00 6.456289714904451138e+00 -1.703674846855819851e+03
6.600000000000000000e+01 3.840215222307966536e-04 4.230559878383024710e-05 3.578921194313253791e-05 2.441095255680588069e-06 5.623314749836022753e-05 3.878285888353112201e-06 7.553771637732281441e+00 7.624481908501976157e+00 6.963274869543522705e+00 6.322874567325272643e+00 -1.706628673569800412e+03
6.700000000000000000e+01 3.682994080416511322e-04 4.340728568912201714e-05 3.554272850774809058e-05 2.563613934859722184e-06 5.887360996899651950e-05 4.277951305541523645e-06 7.341865104496062777e+00 7.418725608092497481e+00 6.734732900799550670e+00 6.129893035261333445e+00 -1.709374455386599493e+03
6.800000000000000000e+01 3.683368513564614895e-04 4.483822484282877654e-05 3.802090760133473683e-05 2.441371648024163837e-06 5.807073295709049991e-05 4.302998310601972063e-06 7.466386009147981895e+00 8.239995184498924985e+00 6.950269039429830542e+00 5.754824885965807546e+00 -1.707340433077464240e+03
