,replicate,t,x
32,3,10756.302521008403,363.0
33,3,11092.436974789916,357.0
34,3,11428.57142857143,366.0
35,3,11764.70588235294,351.0
36,3,12100.840336134454,352.0
37,3,12436.974789915967,358.0
38,3,12773.10924369748,356.0
39,3,13109.24369747899,343.0
40,3,13445.378151260504,348.0
41,3,13781.512605042017,342.0
42,3,14117.64705882353,341.0
43,3,14453.781512605043,338.0
44,3,14789.915966386554,339.0
45,3,15126.050420168067,329.0
46,3,15462.18487394958,341.0
47,3,15798.319327731093,329.0
48,3,16134.453781512606,331.0
49,3,16470.58823529412,328.0
50,3,16806.722689075632,339.0
51,3,17142.85714285714,316.0
52,3,17478.991596638654,338.0
53,3,17815.126050420167,328.0
54,3,18151.26050420168,349.0
55,3,18487.394957983193,329.0
56,3,18823.529411764706,319.0
57,3,19159.66386554622,328.0
58,3,19495.798319327732,324.0
59,3,19831.932773109245,321.0
60,3,20168.067226890755,316.0
61,3,20504.201680672268,320.0
62,3,20840.33613445378,298.0
63,3,21176.470588235294,307.0
64,3,21512.605042016807,298.0
65,3,21848.73949579832,296.0
66,3,22184.873949579833,306.0
67,3,22521.008403361346,304.0
68,3,22857.14285714286,296.0
69,3,23193.277310924368,288.0
70,3,23529.41176470588,286.0
71,3,23865.546218487394,292.0
72,3,24201.680672268907,289.0
73,3,24537.81512605042,288.0
74,3,24873.949579831933,283.0
75,3,25210.084033613446,282.0
76,3,25546.21848739496,274.0
77,3,25882.352941176472,281.0
78,3,26218.48739495798,284.0
79,3,26554.621848739494,279.0
80,3,26890.756302521007,276.0
81,3,27226.89075630252,265.0
82,3,27563.025210084033,273.0
83,3,27899.159663865546,270.0
84,3,28235.29411764706,264.0
85,3,28571.428571428572,261.0
86,3,28907.563025210085,258.0
87,3,29243.697478991595,265.0
88,3,29579.831932773108,270.0
89,3,29915.96638655462,276.0
90,3,30252.100840336134,265.0
91,3,30588.235294117647,270.0
92,3,30924.36974789916,256.0
93,3,31260.504201680673,248.0
94,3,31596.638655462186,264.0
95,3,31932.7731092437,262.0
96,3,32268.907563025212,256.0
97,3,32605.04201680672,264.0
98,3,32941.17647058824,263.0
99,3,33277.31092436975,252.0
100,3,33613.445378151264,248.0
101,3,33949.57983193277,273.0
102,3,34285.71428571428,254.0
103,3,34621.8487394958,254.0
104,3,34957.98319327731,239.0
105,3,35294.117647058825,257.0
106,3,35630.252100840335,256.0
107,3,35966.38655462185,250.0
108,3,36302.52100840336,236.0
109,3,36638.65546218488,251.0
110,3,36974.78991596639,248.0
111,3,37310.924369747896,234.0
112,3,37647.05882352941,249.0
113,3,37983.19327731092,246.0
114,3,38319.32773109244,229.0
115,3,38655.46218487395,245.0
116,3,38991.596638655465,235.0
117,3,39327.731092436974,238.0
118,3,39663.86554621849,227.0
119,3,40000.0,228.0
